Data,Ryzyko_RF,Prawd_RF,Ryzyko_LSTM,Prawd_LSTM,Alert_Systemowy
2021-04-28,niskie,0.053,niskie,0.009,NIE
2021-04-29,niskie,0.158,niskie,0.015,NIE
2021-04-30,niskie,0.179,niskie,0.02,NIE
2021-05-01,niskie,0.197,niskie,0.007,NIE
2021-05-02,niskie,0.266,niskie,0.084,NIE
2021-05-03,niskie,0.277,niskie,0.196,NIE
2021-05-04,niskie,0.276,niskie,0.362,NIE
2021-05-05,niskie,0.195,niskie,0.146,NIE
2021-05-06,niskie,0.199,niskie,0.135,NIE
2021-05-07,niskie,0.174,niskie,0.064,NIE
2021-05-08,niskie,0.26,niskie,0.055,NIE
2021-05-09,niskie,0.118,niskie,0.017,NIE
2021-05-10,niskie,0.026,niskie,0.007,NIE
2021-05-11,niskie,0.027,niskie,0.004,NIE
2021-05-12,niskie,0.038,niskie,0.008,NIE
2021-05-13,niskie,0.08,niskie,0.018,NIE
2021-05-14,niskie,0.032,niskie,0.02,NIE
2021-05-15,niskie,0.048,niskie,0.015,NIE
2021-05-16,niskie,0.209,niskie,0.216,NIE
2021-05-17,niskie,0.165,niskie,0.462,NIE
2021-05-18,niskie,0.22,niskie,0.329,NIE
2021-05-19,niskie,0.101,niskie,0.103,NIE
2021-05-20,niskie,0.07,niskie,0.023,NIE
2021-05-21,niskie,0.227,niskie,0.066,NIE
2021-05-22,niskie,0.155,niskie,0.14,NIE
2021-05-23,niskie,0.266,niskie,0.136,NIE
2021-05-24,niskie,0.156,niskie,0.032,NIE
2021-05-25,niskie,0.148,niskie,0.048,NIE
2021-05-26,niskie,0.169,niskie,0.067,NIE
2021-05-27,niskie,0.206,niskie,0.15,NIE
2021-05-28,niskie,0.24,niskie,0.199,NIE
2021-05-29,niskie,0.206,niskie,0.15,NIE
2021-05-30,niskie,0.075,niskie,0.029,NIE
2021-05-31,niskie,0.039,niskie,0.017,NIE
2021-06-01,niskie,0.029,niskie,0.016,NIE
2021-06-02,niskie,0.039,niskie,0.017,NIE
2021-06-03,niskie,0.012,niskie,0.009,NIE
2021-06-04,niskie,0.003,niskie,0.007,NIE
2021-06-05,niskie,0.011,niskie,0.007,NIE
2021-06-06,niskie,0.007,niskie,0.008,NIE
2021-06-07,niskie,0.014,niskie,0.006,NIE
2021-06-08,niskie,0.042,niskie,0.006,NIE
2021-06-09,niskie,0.011,niskie,0.006,NIE
2021-06-10,niskie,0.022,niskie,0.006,NIE
2021-06-11,niskie,0.008,niskie,0.006,NIE
2021-06-12,niskie,0.12,niskie,0.031,NIE
2021-06-13,niskie,0.185,niskie,0.273,NIE
2021-06-14,niskie,0.058,niskie,0.122,NIE
2021-06-15,niskie,0.006,niskie,0.035,NIE
2021-06-16,niskie,0.016,niskie,0.039,NIE
2021-06-17,niskie,0.034,niskie,0.021,NIE
2021-06-18,niskie,0.007,niskie,0.013,NIE
2021-06-19,niskie,0.031,niskie,0.006,NIE
2021-06-20,niskie,0.074,niskie,0.004,NIE
2021-06-21,niskie,0.05,niskie,0.004,NIE
2021-06-22,niskie,0.061,niskie,0.014,NIE
2021-06-23,niskie,0.099,niskie,0.036,NIE
2021-06-24,niskie,0.065,niskie,0.02,NIE
2021-06-25,niskie,0.036,niskie,0.02,NIE
2021-06-26,niskie,0.052,niskie,0.031,NIE
2021-06-27,niskie,0.031,niskie,0.015,NIE
2021-06-28,niskie,0.029,niskie,0.011,NIE
2021-06-29,niskie,0.031,niskie,0.009,NIE
2021-06-30,niskie,0.062,niskie,0.01,NIE
2021-07-01,niskie,0.088,niskie,0.015,NIE
2021-07-02,niskie,0.136,niskie,0.079,NIE
2021-07-03,niskie,0.064,niskie,0.155,NIE
2021-07-04,niskie,0.051,niskie,0.038,NIE
2021-07-05,niskie,0.04,niskie,0.015,NIE
2021-07-06,niskie,0.045,niskie,0.013,NIE
2021-07-07,niskie,0.11,niskie,0.105,NIE
2021-07-08,niskie,0.154,niskie,0.28,NIE
2021-07-09,niskie,0.161,niskie,0.191,NIE
2021-07-10,niskie,0.131,niskie,0.143,NIE
2021-07-11,niskie,0.076,niskie,0.036,NIE
2021-07-12,niskie,0.035,niskie,0.012,NIE
2021-07-13,niskie,0.017,niskie,0.008,NIE
2021-07-14,niskie,0.017,niskie,0.004,NIE
2021-07-15,niskie,0.02,niskie,0.008,NIE
2021-07-16,niskie,0.019,niskie,0.007,NIE
2021-07-17,niskie,0.02,niskie,0.006,NIE
2021-07-18,niskie,0.018,niskie,0.005,NIE
2021-07-19,niskie,0.047,niskie,0.008,NIE
2021-07-20,niskie,0.007,niskie,0.008,NIE
2021-07-21,niskie,0.058,niskie,0.008,NIE
2021-07-22,niskie,0.013,niskie,0.007,NIE
2021-07-23,niskie,0.007,niskie,0.009,NIE
2021-07-24,niskie,0.028,niskie,0.008,NIE
2021-07-25,niskie,0.01,niskie,0.008,NIE
2021-07-26,niskie,0.054,niskie,0.069,NIE
2021-07-27,niskie,0.119,niskie,0.306,NIE
