Data,sezon,ryzyko,prawdopodobienstwo,glowny_czynnik,kierunek,pewnosc,komunikat,epizod_rzeczywisty,epizod_Strzyza,epizod_Martwa_Wisla,epizod_Port_Polnocny
2022-04-25,wiosna,niskie,0.194,cos_doy,wzrost,0.194,cos_doy – models ocenia ryzyko wezbrania na 19%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 19%.,0,0,0,0
2022-04-26,wiosna,niskie,0.08,cos_doy,spadek,0.08,cos_doy – models ocenia ryzyko wezbrania na 8%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 8%.,0,0,0,0
2022-04-27,wiosna,niskie,0.11,cos_doy,wzrost,0.11,cos_doy – models ocenia ryzyko wezbrania na 11%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 11%.,0,0,0,0
2022-04-28,wiosna,niskie,0.149,cos_doy,wzrost,0.149,cos_doy – models ocenia ryzyko wezbrania na 15%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 15%.,0,0,0,0
2022-04-29,wiosna,niskie,0.103,cos_doy,spadek,0.103,cos_doy – models ocenia ryzyko wezbrania na 10%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 10%.,0,0,0,0
2022-04-30,wiosna,niskie,0.065,cos_doy,spadek,0.065,cos_doy – models ocenia ryzyko wezbrania na 7%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 7%.,0,0,0,0
2022-05-01,wiosna,niskie,0.024,cos_doy,spadek,0.024,cos_doy – models ocenia ryzyko wezbrania na 2%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 2%.,0,0,0,0
2022-05-02,wiosna,niskie,0.095,cos_doy,wzrost,0.095,cos_doy – models ocenia ryzyko wezbrania na 10%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 10%.,0,0,0,0
2022-05-03,wiosna,niskie,0.12,cos_doy,wzrost,0.12,cos_doy – models ocenia ryzyko wezbrania na 12%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 12%.,0,0,0,0
2022-05-04,wiosna,niskie,0.086,cos_doy,spadek,0.086,cos_doy – models ocenia ryzyko wezbrania na 9%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 9%.,0,0,0,0
2022-05-05,wiosna,niskie,0.1,cos_doy,wzrost,0.1,cos_doy – models ocenia ryzyko wezbrania na 10%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 10%.,0,0,0,0
