Rok,Recall_LSTM,Precision_LSTM,F1_LSTM,Recall_bench,Prec_bench,n_epizodow,n_dni
2023,0.783,0.486,0.6,0.15,0.118,46,365
2024,0.684,0.302,0.419,0.189,0.125,38,366
2025,0.658,0.403,0.5,0.333,0.229,38,365
