grupowanie,klucz,n_dni,n_epizodow,n_wykrytych,recall,precision,f1,event_recall
sezon,zima,445,28,28,0.981,0.502,0.665,1.0
sezon,wiosna,460,6,2,0.5,0.286,0.364,0.333
sezon,lato,460,8,4,0.583,0.125,0.206,0.5
sezon,jesień,455,19,19,0.963,0.23,0.371,1.0
rok,2021,359,9,8,0.909,0.303,0.455,0.889
rok,2022,365,13,10,0.909,0.412,0.567,0.769
rok,2023,365,10,10,1.0,0.336,0.503,1.0
rok,2024,366,13,13,0.973,0.273,0.426,1.0
rok,2025,365,16,12,0.833,0.349,0.492,0.75
